央视频道,#genre#
CCTV-1, http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-2, http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-3, http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-4, http://43.152.31.17:843/hlslive-tx-cdn.ysp.cctv.cn/ysp/2029797103_dlna.m3u8
CCTV-4K, http://43.156.8.127:5050/ysp?id=2027249501&pid=600002264&q=fhd
CCTV-5, http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV-5+, http://222.186.27.222/hlslive-tx-1-cdn.ysp.cctv.cn/ysp/2024078003.m3u8
CCTV-6, http://43.156.8.127:5050/ysp?id=2013693901&pid=600108442&q=fhd
CCTV-7, http://43.156.8.127:5050/ysp?id=2024072001&pid=600004092&q=fhd
CCTV-8, http://43.152.31.17:843/hlslive-tx-cdn.ysp.cctv.cn/ysp/2029793003_dlna.m3u8
CCTV-8K, http://43.156.8.127:5050/ysp?id=2026774101&pid=600156816&q=fhd
CCTV-9, http://43.152.31.17:843/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024078603_dlna.m3u8
CCTV-10, http://43.156.8.127:5050/ysp?id=2024078701&pid=600001805&q=fhd
CCTV-11, http://43.156.8.127:5050/ysp?id=2027248701&pid=600001806&q=fhd
CCTV-12, http://43.156.8.127:5050/ysp?id=2027248801&pid=600001807&q=fhd
CCTV-13, http://43.152.31.17:843/hlslive-tx-cdn.ysp.cctv.cn/ysp/2029797203_dlna.m3u8
CCTV-14, http://43.156.8.127:5050/ysp?id=2027248901&pid=600001809&q=fhd
CCTV-15, http://43.156.8.127:5050/ysp?id=2027249001&pid=600001815&q=fhd
CCTV-16, http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17, http://43.156.8.127:5050/ysp?id=2027249401&pid=600001810&q=fhd

卫视频道,#genre#
湖南卫视, http://43.156.8.127:5050/ysp?id=2024054803&pid=600002475&q=fhd
浙江卫视, http://43.156.8.127:5050/ysp?id=2024054703&pid=600002520&q=fhd
江苏卫视, http://43.156.8.127:5050/ysp?id=2024171103&pid=600002521&q=fhd
北京卫视, http://43.156.8.127:5050/ysp?id=2024052703&pid=600002309&q=fhd
东方卫视, http://43.156.8.127:5050/ysp?id=2024054503&pid=600002483&q=fhd
广东卫视, http://43.156.8.127:5050/ysp?id=2024060903&pid=600002485&q=fhd
深圳卫视, http://43.156.8.127:5050/ysp?id=2024061303&pid=600002481&q=fhd
天津卫视, http://43.156.8.127:5050/ysp?id=2019927003&pid=600152137&q=fhd
河北卫视, http://43.156.8.127:5050/ysp?id=2024171503&pid=600002493&q=fhd
黑龙江卫视, http://43.152.31.17:843/hlslive-tx-cdn.ysp.cctv.cn/ysp/2029797003_dlna.m3u8
吉林卫视, http://43.152.31.17:843/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025561503_dlna.m3u8
辽宁卫视, http://43.156.8.127:5050/ysp?id=2024171303&pid=600002505&q=fhd
湖北卫视, http://hlsbkmgsplive.miguvideo.com/migu/kailu/hubeiwshd/57/20220712/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
